ID,name,article_ID
7003302831,Guthrie W.S.,104
7003302831,Guthrie W.S.,258
7003302831,Guthrie W.S.,520
16066928300,Mazzeo B.A.,17
16066928300,Mazzeo B.A.,104
16066928300,Mazzeo B.A.,258
16066928300,Mazzeo B.A.,520
57213342768,Gardner J.W.,18
57213342768,Gardner J.W.,133
56584019300,Mulford R.B.,19
56584019300,Mulford R.B.,148
56584019300,Mulford R.B.,263
56584019300,Mulford R.B.,447
56584019300,Mulford R.B.,576
56584019300,Mulford R.B.,585
57217581937,Salt S.D.,19
57214937519,Hyatt L.P.,19
57214937519,Hyatt L.P.,34
57214937519,Hyatt L.P.,95
57217581770,Meaker K.S.,19
55542008600,Dwivedi V.H.,19
55542008600,Dwivedi V.H.,263
56714263700,Jones M.R.,19
56714263700,Jones M.R.,148
56714263700,Jones M.R.,263
56714263700,Jones M.R.,447
56714263700,Jones M.R.,576
56714263700,Jones M.R.,585
8608718200,Iverson B.D.,19
8608718200,Iverson B.D.,80
8608718200,Iverson B.D.,148
8608718200,Iverson B.D.,263
8608718200,Iverson B.D.,271
8608718200,Iverson B.D.,432
8608718200,Iverson B.D.,447
8608718200,Iverson B.D.,497
8608718200,Iverson B.D.,576
8608718200,Iverson B.D.,585
8608718200,Iverson B.D.,816
8608718200,Iverson B.D.,851
17341858700,Chowdhury S.,20
42062742100,Zhuang H.,20
55802018400,Coleman S.,20
36515506800,Patala S.,20
56735940800,Bair J.,20
56735940800,Bair J.,57
57194874146,Lu W.,21
8935141300,Cao Q.,21
57194231165,Xu B.,21
6601976036,Adidharma H.,21
35547089300,Gasem K.,21
7004479819,Argyle M.,21
7004479819,Argyle M.,83
7004479819,Argyle M.,418
7004479819,Argyle M.,515
55413647400,Zhang F.,21
55739722900,Zhang Y.,21
7201970805,Fan M.,21
7201970805,Fan M.,418
57217041570,Webb D.,22
57200117690,Song Y.,22
57200117690,Song Y.,70
57200117690,Song Y.,176
57200117690,Song Y.,495
57207689986,Rozsa J.,22
57207689986,Rozsa J.,574
57200699937,Gustafson E.,22
7202316035,Austin D.E.,22
35209941000,Chiang S.-H.W.,22
35209941000,Chiang S.-H.W.,25
35209941000,Chiang S.-H.W.,70
35209941000,Chiang S.-H.W.,129
35209941000,Chiang S.-H.W.,176
35209941000,Chiang S.-H.W.,277
35209941000,Chiang S.-H.W.,474
35209941000,Chiang S.-H.W.,671
35209941000,Chiang S.-H.W.,736
57219312906,Lam S.-H.,23
57215534774,Brewer E.,23
35303536900,Ng Y.-K.,23
35303536900,Ng Y.-K.,463
35303536900,Ng Y.-K.,464
35303536900,Ng Y.-K.,527
35303536900,Ng Y.-K.,528
57216811262,Erickson H.C.,24
8705255200,Homer E.R.,24
8705255200,Homer E.R.,57
8705255200,Homer E.R.,81
8705255200,Homer E.R.,89
8705255200,Homer E.R.,208
8705255200,Homer E.R.,243
8705255200,Homer E.R.,416
8705255200,Homer E.R.,444
8705255200,Homer E.R.,492
8705255200,Homer E.R.,663
8705255200,Homer E.R.,742
57218879246,Huang J.-S.,25
57218883196,Huang Y.-C.,25
57218883472,Kao C.-W.,25
57218875152,Hsu C.-W.,25
36444802300,Chen C.-H.,25
7402967162,Wallace J.W.,26
7402967162,Wallace J.W.,475
7402967162,Wallace J.W.,664
56196521900,Mahmood A.,26
56196521900,Mahmood A.,146
56196521900,Mahmood A.,589
35597296700,Jensen M.A.,26
35597296700,Jensen M.A.,146
35597296700,Jensen M.A.,259
35597296700,Jensen M.A.,475
35597296700,Jensen M.A.,546
35597296700,Jensen M.A.,589
35597296700,Jensen M.A.,664
55649569259,Mehmood R.,26
55649569259,Mehmood R.,475
55649569259,Mehmood R.,589
55649569259,Mehmood R.,664
